Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Kene Nwangwu,52.3,3,157,1,3,1,99,0,0
Taysom Hill,42,1,42,0,1,1,42,0,0
Charlie Jones,40,5,200,1,4,1,100,0,1
Khalil Dorsey,39.8,4,159,0,4,1,72,0,0
Mack Hollins,38,1,38,0,1,0,38,0,0
Bryce Oliver,37.7,3,113,0,3,1,54,0,0
Dameon Pierce,37.7,9,339,0,8,4,80,0,0
Ashton Dulin,37,4,148,0,4,2,55,0,0
Justice Hill,36.6,5,183,0,5,1,59,0,0
Kaden Davis,35.7,3,107,0,3,1,40,0,0
Hassan Haskins,35,1,35,0,1,0,35,0,0
Ihmir Smith-Marsette,34.6,11,381,1,11,2,100,0,0
Isaiah Williams,33.8,5,169,0,5,1,43,0,0
KaVontae Turpin,33.5,27,904,1,23,4,99,0,0
Ameer Abdullah,32.9,9,296,0,9,1,68,0,0
Samaje Perine,32.6,5,163,0,5,1,56,0,0
Tank Bigsby,32.5,6,195,0,6,2,41,0,1
De'Von Achane,32,1,32,0,1,0,32,0,0
Jacob Cowing,32,1,32,0,1,0,32,0,0
Xavier Hutchinson,32,1,32,0,1,0,32,0,0
Dante Pettis,32,3,96,0,3,0,38,0,0
DeAndre Carter,31.9,15,479,0,15,2,67,0,0
Deebo Samuel Sr.,31.4,17,533,0,17,3,60,0,2
Austin Ekeler,31.3,19,594,0,19,1,62,0,1
Keaton Mitchell,31.2,5,156,0,5,1,47,0,0
Khalil Herbert,31,4,124,0,4,0,35,0,0
Malik Washington,30.7,14,430,0,13,2,67,0,0
DeeJay Dallas,30.6,15,459,1,14,1,96,1,1
Dallis Flowers,30,1,30,0,1,0,30,0,0
Luke McCaffrey,29.9,10,299,0,9,1,47,0,0
Anthony Gould,29.4,7,206,0,7,1,40,0,0
Bucky Irving,29.3,6,176,0,6,1,46,0,0
Kendre Miller,29.3,6,176,0,6,1,41,0,0
Keisean Nixon,29.3,18,528,0,17,1,43,0,0
Dee Eskridge,29.2,5,146,0,5,0,35,0,0
Jermaine Burton,29.1,13,378,0,12,0,38,0,0
Travis Homer,29,1,29,0,1,0,29,0,0
Jaylen Wright,29,1,29,0,1,0,29,0,0
Will Shipley,28.8,6,173,0,6,0,33,0,0
Robert Woods,28.8,5,144,0,5,0,31,0,0
Xavier Gipson,28.8,17,489,0,17,2,45,0,0
Laviska Shenault Jr.,28.7,16,459,1,12,1,97,0,2
Rashid Shaheed,28.5,6,171,0,5,0,38,0,0
Tremon Smith,28.3,6,170,0,6,0,38,0,0
Jordan Whittington,28.3,16,453,0,14,2,43,0,0
Tyjae Spears,28.3,7,198,0,7,1,42,0,0
Isaiah Rodgers,28.1,8,225,0,8,1,51,0,0
Craig Reynolds,28,1,28,0,1,0,28,0,0
Steven Sims,27.9,7,195,0,7,0,37,0,0
Tom Kennedy,27.8,6,167,0,6,0,34,0,0
Brandon Codrington,27.8,11,306,0,11,1,53,0,1
Marvin Mims Jr.,27.7,7,194,0,6,0,38,0,0
Dee Williams,27.7,10,277,0,9,0,39,0,1
Carson Steele,27.6,5,138,0,5,0,31,0,0
Derius Davis,27.6,19,524,0,15,2,56,0,1
Sione Vaki,27.5,2,55,0,1,0,36,0,0
Dylan Laube,27.3,6,164,0,4,1,59,0,0
Sean Tucker,27.3,15,410,0,13,1,53,0,0
Avery Williams,27.2,15,408,0,15,0,38,0,0
Isaac Guerendo,27.2,6,163,0,6,0,35,0,2
D.J. Williams,27,2,54,0,2,0,30,0,0
Jaelon Darden,26.9,11,296,0,11,0,37,0,0
Nikko Remigio,26.8,11,295,0,10,0,36,0,0
Deven Thompkins,26.8,5,134,0,4,0,33,0,0
Rasheen Ali,26.8,4,107,0,4,0,38,0,0
Juanyeh Thomas,26.7,7,187,1,6,1,43,0,0
Chase Brown,26.6,7,186,0,7,0,29,0,0
Blake Corum,26.6,7,186,0,7,1,41,0,0
Greg Dortch,26.6,7,186,0,6,0,31,0,0
Antonio Gibson,26.6,9,239,0,7,1,42,0,0
Alex Erickson,26.5,4,106,0,3,0,34,0,0
DJ Turner,26.5,4,106,0,4,0,31,0,1
Mecole Hardman,26.4,5,132,0,4,0,32,0,0
Eric Gray,26.4,21,554,0,20,0,37,0,2
Javon Baker,26.3,3,79,0,1,1,46,0,0
Tyler Goodson,26.3,9,237,0,8,0,36,0,0
Jamaal Williams,26.2,11,288,0,10,0,32,0,0
Ty Johnson,26,5,130,0,3,1,45,0,0
Kalif Raymond,26,1,26,0,1,0,26,0,0
Patrick Taylor,26,4,104,0,3,0,30,0,0
Julius Chestnut,25.9,13,337,0,13,0,39,0,0
Tyler Scott,25.9,8,207,0,6,0,36,0,0
Jerome Ford,25.9,15,388,0,13,2,56,0,0
Xavier Smith,25.8,6,155,0,5,0,34,0,0
Ray-Ray McCloud,25.8,14,361,0,13,0,33,0,1
Isaiah Davis,25.8,9,232,0,9,0,33,0,0
Jha'Quan Jackson,25.8,16,412,0,15,0,34,0,2
Ty Chandler,25.6,8,205,0,7,0,35,0,0
Raheem Blackshear,25.5,31,791,0,27,1,43,0,1
Xavier Legette,25.5,4,102,0,3,0,30,0,0
Kenny McIntosh,25.5,6,153,0,5,0,36,0,0
Cam Akers,25.3,3,76,0,3,0,27,0,0
Braxton Berrios,25.3,3,76,0,2,0,31,0,0
Kenneth Gainwell,25.3,18,456,0,14,0,36,0,0
Aaron Shampklin,25.2,4,101,0,3,0,32,0,0
Jaylen Warren,25.2,9,227,0,7,0,35,0,0
Devin Duvernay,25.1,14,351,0,12,0,34,0,0
Josh Blackwell,25,1,25,0,1,0,22,0,0
Noah Igbinoghene,25,1,25,0,1,0,25,0,0
Deonte Harty,24.5,4,98,0,4,0,31,0,0
Tyreik McAllister,24.5,2,49,0,2,0,28,0,0
Parker Washington,24.4,5,122,0,5,0,30,0,1
Chris Collier,23.8,12,286,0,9,0,39,0,0
JaMycal Hasty,23.8,10,238,0,8,0,30,0,0
Rakim Jarrett,23.5,6,141,0,4,0,38,0,0
Jeremy McNichols,23.4,7,164,0,7,0,29,0,0
Jermaine Jackson,23.4,8,187,0,6,0,32,0,0
D'Onta Foreman,23.2,5,116,0,4,0,29,0,0
Pierre Strong,23.2,11,255,0,9,0,27,0,0
Ronnie Bell,23,1,23,0,1,0,23,0,0
John Kelly,23,2,46,0,2,0,24,0,0
Trey Sermon,23,1,23,0,1,0,23,0,0
Natrone Brooks,22,1,22,0,1,0,22,0,0
Jalen Reagor,22,1,22,0,1,0,22,0,0
Cordarrelle Patterson,21.8,11,240,0,6,0,33,0,0
Tim Jones,21.5,2,43,0,2,0,23,0,0
Skyy Moore,21.5,2,43,0,1,0,28,0,0
Kendric Pryor,21.5,2,43,0,1,0,24,0,0
Emari Demercado,21.3,3,64,0,2,0,26,0,0
Corey Ballentine,21,1,21,0,1,0,21,0,0
Treylon Burks,21,1,21,0,1,0,21,0,0
Ray Davis,21,7,147,0,5,0,26,0,0
Raheem Mostert,21,2,42,0,1,0,23,0,0
Cody Thompson,21,1,21,0,1,0,21,0,0
Mason Tipton,21,1,21,0,1,0,21,0,0
Tyrone Tracy Jr.,20.3,3,61,0,2,0,28,0,1
Myles Gaskin,20,3,60,0,1,0,26,0,0
Trayveon Williams,19.4,5,97,0,3,0,23,0,0
Jordan Mims,19,1,19,0,0,0,19,0,0
James Proche,19,1,19,0,0,0,19,1,0
Gary Brightwell,18,2,36,0,1,0,24,0,0
Keilan Robinson,17,2,34,0,1,0,20,0,0
Ainias Smith,17,1,17,0,0,0,17,0,0
Bo Melton,15,1,15,0,0,0,15,0,0
Jordan Mason,14.5,2,29,0,1,0,29,0,0
Trey Palmer,14,1,14,0,0,0,14,0,0
Miles Sanders,14,1,14,0,0,0,14,0,0
Montrell Washington,14,1,14,0,0,0,14,0,0
Dare Ogunbowale,12,1,12,0,0,0,12,0,0
