Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck
Browns,511,316,61.8,7.6,3878,26,4,98.9,176,34.4,56,9,93T,41
Bengals,573,372,64.9,7,4016,30,15,91.9,192,33.5,48,10,84T,36
Cowboys,512,349,68.2,7.9,4045,28,13,99.4,175,34.2,47,12,86T,52
Raiders,561,370,66,7.1,3989,29,10,96.5,194,34.6,47,5,62T,38
Jets,521,327,62.8,6.9,3588,18,7,89,171,32.8,49,7,69T,43
Chiefs,569,375,65.9,7,3970,24,13,90.6,191,33.6,52,10,58T,39
Seahawks,569,371,65.2,6.9,3930,26,13,90.9,193,33.9,48,6,76T,45
Dolphins,572,365,63.8,6.7,3829,22,10,88.7,190,33.2,42,6,71T,35
Giants,503,349,69.4,7.7,3869,23,5,103,177,35.2,49,7,55T,45
Buccaneers,630,418,66.4,7.1,4464,27,7,96.6,212,33.6,54,9,59,46
Broncos,606,393,64.8,6.8,4112,22,15,86.2,203,33.5,47,5,70T,63
Texans,554,326,58.8,6.8,3753,31,19,83.7,172,31,49,12,70T,49
Bears,503,325,64.6,7.9,3959,17,11,90.9,177,35.2,57,10,82T,40
Falcons,578,404,69.9,6.9,4004,34,12,100.2,200,34.6,44,8,67,31
Rams,542,354,65.3,7.6,4101,29,13,95.9,196,36.2,57,7,66T,38
Lions,610,373,61.2,7.2,4404,18,16,82,198,32.5,62,10,64,37
Saints,591,366,61.9,7.3,4295,19,14,84.8,194,32.8,56,10,89T,39
Vikings,637,415,65.2,7,4459,24,24,82.4,218,34.2,51,4,98T,49
Panthers,530,360,67.9,7.6,4043,35,9,105.4,205,38.7,51,7,63T,32
Jaguars,580,389,67.1,7.9,4605,29,6,103.4,219,37.8,71,14,80T,34
Cardinals,539,370,68.6,7.3,3930,20,9,95.1,200,37.1,46,6,53,41
49ers,516,338,65.5,6.7,3476,25,11,92,181,35.1,39,5,97T,37
Titans,473,314,66.4,6.8,3216,27,11,95.1,157,33.2,42,4,57,32
Patriots,533,346,64.9,7,3749,27,7,96.9,189,35.5,45,6,69T,28
Commanders,496,307,61.9,7,3492,25,7,93.9,175,35.3,47,5,45,43
Bills,578,396,68.5,7.1,4100,28,16,93.4,217,37.5,43,4,67T,39
Colts,545,378,69.4,7.6,4142,27,16,95.8,191,35,47,10,85T,36
Chargers,565,367,65,6.7,3762,24,15,87,170,30.1,48,8,60,46
Steelers,582,382,65.6,7.1,4151,23,17,87.5,193,33.2,47,9,57,40
Packers,565,381,67.4,7,3959,23,17,88.5,200,35.4,48,1,67T,45
Ravens,625,396,63.4,7.2,4468,27,12,91.1,218,34.9,58,6,70T,54
Eagles,542,337,62.2,6,3266,22,13,82.5,160,29.5,35,7,70T,41
