Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
Bengals,372,4016,10.8,30,48,10,84T,192,51.6,2,79
Dolphins,365,3829,10.5,22,42,6,71T,190,52,1,69
Seahawks,371,3930,10.6,26,48,6,76T,193,52,1,74
Raiders,370,3989,10.8,29,47,5,62T,194,52.4,3,81
Buccaneers,418,4464,10.7,27,54,9,59,212,50.7,6,61
Chiefs,375,3970,10.6,24,52,10,58T,191,50.9,4,71
Lions,373,4404,11.8,18,62,10,64,198,53.1,7,81
Cowboys,349,4045,11.6,28,47,12,86T,175,50.1,6,70
Browns,316,3878,12.3,26,56,9,93T,176,55.7,1,60
Jets,327,3588,11,18,49,7,69T,171,52.3,3,57
Broncos,393,4112,10.5,22,47,5,70T,203,51.6,4,68
Cardinals,370,3930,10.6,20,46,6,53,200,54,7,63
Rams,354,4101,11.6,29,57,7,66T,202,57.1,2,73
Giants,349,3869,11.1,23,49,7,55T,177,50.7,5,60
Commanders,307,3492,11.4,25,47,5,45,175,57,2,60
Falcons,404,4004,9.9,34,44,8,67,200,49.5,6,66
Vikings,415,4459,10.7,24,51,4,98T,218,52.5,2,94
Texans,326,3753,11.5,31,49,12,70T,172,52.8,3,90
Bears,325,3959,12.2,17,57,10,82T,177,54.5,6,66
49ers,338,3476,10.3,25,39,5,97T,181,53.6,4,72
Jaguars,389,4605,11.8,29,71,14,80T,219,56.3,0,74
Patriots,346,3749,10.8,27,45,6,69T,189,54.6,2,73
Panthers,360,4043,11.2,35,51,7,63T,205,56.9,4,68
Saints,366,4295,11.7,19,55,10,89T,194,53,2,93
Titans,314,3216,10.2,27,42,4,57,157,50,3,53
Chargers,367,3762,10.2,24,48,8,60,170,46.3,1,87
Bills,396,4100,10.4,28,43,4,67T,217,54.8,4,60
Steelers,382,4151,10.9,23,47,9,57,193,50.5,4,77
Ravens,396,4468,11.3,27,58,6,70T,218,55,4,82
Packers,381,3959,10.4,23,48,1,67T,200,52.5,7,56
Eagles,337,3266,9.7,22,35,7,70T,160,47.5,6,90
Colts,378,4142,11,27,47,10,85T,191,50.5,6,57
