Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Eagles,416,1771,4.3,9,6,0,39,108,26,15
Ravens,383,1361,3.6,12,3,0,25T,69,18,5
Lions,369,1672,4.5,18,9,2,58,86,23.3,7
Steelers,412,1678,4.1,14,10,3,45T,108,26.2,6
Packers,426,1689,4,13,9,0,39T,104,24.4,6
Commanders,490,2337,4.8,18,14,2,68T,122,24.9,9
Colts,531,2241,4.2,18,11,3,65T,127,23.9,7
Falcons,458,2051,4.5,11,8,1,56,131,28.6,9
Bills,435,1963,4.5,13,11,3,87T,109,25.1,11
Buccaneers,389,1663,4.3,13,9,3,81,94,24.2,10
Cardinals,465,2149,4.6,18,12,2,51T,124,26.7,7
Chargers,426,1997,4.7,7,13,3,54,108,25.4,6
Broncos,424,1639,3.9,10,11,3,43,82,19.3,7
Vikings,392,1588,4,12,5,2,47,83,21.2,5
49ers,476,2118,4.4,24,11,4,65T,118,24.8,8
Titans,503,2277,4.5,21,18,5,92T,118,23.5,5
Chiefs,418,1731,4.1,13,8,1,62T,112,26.8,4
Rams,477,2210,4.6,13,9,3,72T,117,24.5,3
Dolphins,405,1763,4.4,12,10,2,49T,97,24,5
Patriots,507,2233,4.4,16,10,4,59,127,25,11
Saints,489,2404,4.9,20,18,1,65T,133,27.2,5
Texans,447,1938,4.3,11,13,2,58,107,23.9,8
Bears,485,2317,4.8,20,12,2,53T,129,26.6,5
Cowboys,482,2331,4.8,25,12,1,45T,141,29.2,3
Giants,503,2316,4.6,18,19,5,56,129,25.6,9
Jaguars,511,2254,4.4,19,12,0,38T,137,26.8,3
Panthers,592,3057,5.2,24,15,4,46,179,30.2,6
Browns,488,2205,4.5,22,22,4,75T,108,22.1,6
Seahawks,451,2053,4.6,11,10,2,76,107,23.7,10
Bengals,479,2122,4.4,20,10,2,66,137,28.6,9
Raiders,454,1987,4.4,14,15,3,61,102,22.5,4
Jets,504,2059,4.1,22,7,1,61,129,25.6,7
