Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Browns,237,70,44,24,180,45.6,93,23.8,1145
Eagles,235,98,27,19,168,55.4,164,26.4,1150
Giants,232,82,37,20,170,46.4,104,24.5,1091
Bears,231,76,38,23,172,48.7,97,22.5,1090
Texans,231,87,18,11,197,55.2,89,20.5,1101
Broncos,230,91,22,15,172,45.4,124,26.9,1089
Chiefs,229,111,17,12,219,54.2,106,23.6,1128
Cowboys,228,84,28,10,192,48.2,98,22.8,1151
Steelers,228,90,18,7,158,49.2,122,22.9,1125
Raiders,224,78,25,14,209,51,78,20.5,1111
Chargers,221,89,16,10,176,52.4,110,23.8,1059
Colts,219,83,28,17,161,55.7,130,26.2,1078
Commanders,217,99,23,20,192,52.6,154,29.3,1143
Saints,216,76,27,15,167,49.1,111,25,1063
Buccaneers,216,110,14,9,224,54.9,137,28.4,1126
Titans,215,81,23,9,164,48.8,112,24.9,1059
Patriots,215,75,24,14,167,48.8,101,22.6,1060
Bengals,214,100,19,10,253,55,88,23.2,1113
Dolphins,212,77,31,15,221,53.5,90,20.1,1123
Panthers,211,76,30,14,168,49.3,99,24.2,1019
Jets,210,83,24,10,201,52.2,83,22.9,1037
Seahawks,210,79,19,10,211,51.1,88,23,1060
Falcons,209,82,31,21,198,54.4,133,26.9,1121
Lions,206,98,33,22,242,60.6,144,27,1147
Jaguars,204,76,26,14,174,50.7,106,25.6,1021
Bills,202,89,22,16,181,55,140,28.5,1054
Rams,201,74,24,16,192,52.3,119,26.4,1074
Vikings,200,80,13,6,210,57.7,100,21.9,1096
49ers,197,84,16,8,210,60.2,120,26.3,1069
Cardinals,193,83,18,8,191,51.1,136,29.4,1074
Ravens,191,92,15,8,199,62.6,164,29.6,1085
Packers,190,75,16,8,171,55.5,142,27,1065
