Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Eagles,621,3048,4.9,29,25,7,72T,164,26.4,6
Ravens,554,3189,5.8,21,29,7,87,164,29.6,9
Lions,534,2488,4.7,29,14,3,70T,144,27,3
Steelers,533,2166,4.1,14,11,0,36T,122,22.9,8
Packers,526,2496,4.8,23,15,0,38,142,27,8
Commanders,526,2619,5,25,19,4,50T,154,29.3,7
Colts,496,2331,4.7,20,18,4,70T,130,26.2,10
Falcons,495,2219,4.5,18,10,0,37,133,26.9,6
Bills,491,2230,4.5,32,13,4,65T,140,28.5,2
Buccaneers,483,2536,5.2,16,15,4,56,137,28.4,12
Cardinals,463,2451,5.3,18,17,7,53,136,29.4,9
Chargers,463,1882,4.1,17,11,5,61,110,23.8,5
Broncos,461,1908,4.1,12,10,1,43,124,26.9,5
Vikings,457,1855,4.1,9,6,2,58,100,21.9,6
49ers,457,2163,4.7,17,13,1,76,120,26.3,7
Titans,450,1855,4.1,11,8,1,41,112,24.9,11
Chiefs,450,1790,4,15,7,0,34T,106,23.6,4
Rams,450,1765,3.9,15,3,0,30,119,26.4,7
Dolphins,448,1795,4,12,8,3,61T,90,20.1,10
Patriots,446,1969,4.4,11,9,2,45T,101,22.6,14
Saints,444,1954,4.4,15,7,1,75,111,25,2
Texans,434,1909,4.4,15,13,4,92,89,20.5,5
Bears,431,1734,4,13,7,1,56T,97,22.5,4
Cowboys,429,1705,4,6,3,0,27,98,22.8,12
Giants,424,1783,4.2,13,12,3,45T,104,24.5,6
Jaguars,414,1729,4.2,13,8,2,65T,106,25.6,5
Panthers,410,1878,4.6,18,13,0,38T,99,24.2,4
Browns,391,1608,4.1,8,7,2,66,93,23.8,6
Seahawks,383,1627,4.2,17,12,1,51,88,23,5
Bengals,380,1574,4.1,11,9,2,47T,88,23.2,6
Raiders,380,1357,3.6,10,4,1,40T,78,20.5,10
Jets,363,1561,4.3,8,6,1,42T,83,22.9,7
