Team,Rsh TD,Rec TD,Tot TD,2-PT
Bills,32,30,65,1
Lions,29,39,70,1
Eagles,29,24,54,3
Commanders,25,29,55,4
Packers,23,28,52,3
Ravens,21,41,65,1
Colts,20,20,41,1
Falcons,18,21,43,2
Panthers,18,22,40,1
Cardinals,18,21,42,3
Chargers,17,23,41,3
49ers,17,23,42,0
Seahawks,17,21,43,0
Buccaneers,16,41,59,1
Texans,15,20,38,0
Chiefs,15,26,42,0
Rams,15,22,41,0
Saints,15,21,37,1
Steelers,14,21,37,0
Bears,13,20,36,3
Jaguars,13,19,34,4
Giants,13,15,30,1
Broncos,12,30,47,0
Dolphins,12,22,34,2
Bengals,11,43,57,1
Titans,11,22,33,3
Patriots,11,18,30,3
Raiders,10,19,30,2
Vikings,9,35,47,0
Browns,8,19,29,5
Jets,8,31,40,5
Cowboys,6,23,33,1
