Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk
Broncos,15.7,26,408,0,7,1,61,25,0,0
Patriots,14.2,30,427,0,6,2,62,11,2,1
Lions,13,37,479,1,4,2,90T,15,1,0
Bears,12.7,24,304,1,3,1,94T,12,1,2
Saints,12.5,24,301,1,4,3,54T,22,2,1
Chargers,12,22,263,0,2,1,53,31,2,0
Jaguars,11.8,27,318,1,3,2,96T,20,2,0
Bills,11.6,27,313,0,4,0,29,8,1,0
Commanders,10.4,25,260,0,4,0,24,19,5,0
Steelers,10.3,28,289,1,2,1,73T,15,1,1
Browns,10,45,450,0,1,0,28,17,2,0
Chiefs,9.9,31,307,0,4,1,55,13,1,0
Colts,9.8,26,256,0,2,0,36,15,0,1
Cowboys,9.8,19,187,1,3,1,60T,19,2,0
Raiders,9.8,27,264,0,2,0,24,19,1,0
Ravens,9.7,22,213,0,2,0,22,20,3,0
Cardinals,9.6,21,202,0,1,0,27,3,1,0
Dolphins,9.6,28,268,0,2,1,44,17,1,0
Falcons,9.5,21,200,0,1,0,28,18,0,1
49ers,9.2,32,294,0,2,0,30,13,2,0
Eagles,9.2,28,257,0,3,0,31,29,2,0
Rams,8.9,18,161,0,1,0,38,21,0,1
Packers,8.3,19,158,0,1,0,39,30,3,0
Texans,8.3,41,340,0,2,0,36,23,2,0
Jets,8.1,33,266,0,3,1,40,16,4,1
Giants,7.6,30,228,0,3,0,25,18,2,0
Buccaneers,7.6,21,159,0,0,0,17,14,1,1
Titans,7.4,34,253,0,1,0,20,12,3,0
Seahawks,7.4,25,186,0,1,0,23,29,2,1
Panthers,7.4,24,177,0,0,0,16,9,1,0
Bengals,7.3,34,248,0,1,0,23,13,2,0
Vikings,6.8,24,164,0,0,0,15,16,2,1
