Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Steelers,41,93.2,35,100,0,1
Cowboys,40,85.1,30,100,2,1
Chargers,39,92.9,33,91.7,0,0
Dolphins,37,90.2,26,92.9,0,0
Texans,36,85.7,34,94.4,0,0
Vikings,35,83.3,45,97.8,0,0
Raiders,34,85,23,92,0,0
Cardinals,34,89.5,36,97.3,1,0
Commanders,34,81,45,95.7,0,0
49ers,33,76.7,38,95,0,0
Packers,32,84.2,46,100,0,0
Chiefs,32,86.5,37,94.9,0,0
Broncos,31,91.2,46,100,0,0
Colts,31,83.8,36,100,0,0
Buccaneers,30,93.8,54,96.4,0,0
Falcons,29,70.7,38,100,0,0
Rams,29,85.3,32,88.9,0,0
Eagles,28,77.8,47,97.9,0,0
Jaguars,27,93.1,27,100,0,1
Saints,27,87.1,31,93.9,0,1
Lions,26,89.7,64,95.5,0,1
Patriots,26,78.8,25,96.2,0,0
Seahawks,26,86.7,37,92.5,1,0
Bengals,25,75.8,51,96.2,1,0
Titans,25,92.6,28,100,0,0
Bills,24,82.8,59,92.2,0,0
Giants,23,82.1,22,95.6,1,0
Ravens,22,73.3,60,96.8,0,0
Panthers,22,84.6,33,94.3,0,0
Bears,21,84,25,96.2,0,1
Jets,20,71.4,28,90.3,1,0
Browns,18,66.7,18,85.7,0,0
