"season","week","gsis_id","full_name","team","position","birth_date","height","weight","years_exp","rookie_year","entry_year","draft_number","depth_chart_position","rush_attempts","rushing_yards","rush_ypa","rush_tds","first_down_rush","targets","receptions","yac","first_down_pass","third_down_converted","third_down_failed","third_down_rate","fourth_down_converted","fourth_down_failed","fourth_down_rate","fumble","fumble_forced","fumble_not_forced","fumble_lost","tackled_for_loss","penalties","penalty_yards","total_epa","avg_epa"
2018,8,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",12,53,441.666666666667,0,2,2,1,7,0,0,0,NA,0,0,NA,0,0,0,0,2,0,0,-4.46874861232936,-0.319196329452097
2018,13,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",8,21,262.5,0,0,1,1,6,1,1,1,0.5,0,0,NA,0,0,0,0,1,0,0,-0.620184287399753,-0.0689093652666392
2018,7,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",10,29,290,0,2,1,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,-1.48057148023508,-0.134597407294099
2018,4,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",11,41,372.727272727273,0,1,3,2,16,2,2,2,0.5,0,0,NA,0,0,0,0,1,0,0,0.399647360900419,0.0285462400643157
2018,5,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",12,63,525,0,2,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,3.23148624936585,0.269290520780487
2018,15,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",5,14,280,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,-1.44069978105836,-0.288139956211671
2018,10,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",13,90,692.307692307692,0,4,3,2,11,1,1,1,0.5,0,0,NA,0,0,0,0,0,0,0,3.7044086046517,0.231525537790731
2018,2,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",9,25,277.777777777778,0,0,1,1,16,1,1,1,0.5,0,0,NA,0,0,0,0,1,0,0,-0.42927922302624,-0.042927922302624
2018,3,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",6,12,200,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,-2.4161328249611,-0.402688804160183
2018,1,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",9,61,677.777777777778,0,3,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0.692005484309625,0.076889498256625
2018,9,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",20,53,265,0,1,1,1,9,0,0,0,NA,1,1,0.5,0,0,0,0,2,0,0,-5.94118720351253,-0.28291367635774
2018,14,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",12,92,766.666666666667,0,3,1,1,21,1,0,0,NA,0,0,NA,1,1,0,0,0,0,0,5.31100580171915,0.40853890782455
2018,6,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",15,101,673.333333333333,0,2,1,1,19,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,4.46535812661751,0.279084882913594
2018,12,"00-0023500","Frank Gore","MIA","RB","1983-05-14",69,212,13,2005,2005,NA,"RB",14,67,478.571428571429,0,4,2,1,10,1,1,1,0.5,0,0,NA,0,0,0,0,1,0,0,1.95230761606945,0.12201922600434
2018,17,"00-0023564","Darren Sproles","PHI","RB","1983-06-20",66,190,13,2005,2005,130,"RB",7,24,342.857142857143,0,2,3,2,12,1,1,1,0.5,0,0,NA,0,0,0,0,0,0,0,-0.0122379400418147,-0.00122379400418147
2018,1,"00-0023564","Darren Sproles","PHI","RB","1983-06-20",66,190,13,2005,2005,130,"RB",5,10,200,0,1,7,4,22,1,2,2,0.5,0,0,NA,0,0,0,0,0,0,0,-0.980893448460843,-0.0817411207050703
2018,18,"00-0023564","Darren Sproles","PHI","RB","1983-06-20",66,190,13,2005,2005,130,"RB",13,21,161.538461538462,0,1,3,2,15,1,1,1,0.5,0,0,NA,0,0,0,0,3,0,0,-4.83576429181266,-0.302235268238291
2018,14,"00-0023564","Darren Sproles","PHI","RB","1983-06-20",66,190,13,2005,2005,130,"RB",1,2,200,0,0,3,3,33,2,0,0,NA,1,1,0.5,0,0,0,0,0,0,0,5.80415173532674,1.45103793383169
2018,15,"00-0023564","Darren Sproles","PHI","RB","1983-06-20",66,190,13,2005,2005,130,"RB",3,30,1000,0,1,4,3,13,0,1,1,0.5,0,0,NA,0,0,0,0,0,0,0,1.49897755583516,0.214139650833594
2018,16,"00-0023564","Darren Sproles","PHI","RB","1983-06-20",66,190,13,2005,2005,130,"RB",9,32,355.555555555556,0,1,6,3,47,2,1,1,0.5,1,1,0.5,0,0,0,0,1,0,0,5.15843812182741,0.343895874788494
2018,13,"00-0023564","Darren Sproles","PHI","RB","1983-06-20",66,190,13,2005,2005,130,"RB",4,22,550,1,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0.393326946446898,0.0983317366117245
2018,19,"00-0023564","Darren Sproles","PHI","RB","1983-06-20",66,190,13,2005,2005,130,"RB",3,4,133.333333333333,0,0,4,3,33,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,-2.71834219316952,-0.388334599024217
2018,16,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",26,119,457.692307692308,0,4,2,1,6,1,2,2,0.5,0,0,NA,0,0,0,0,1,0,0,0.906890573620323,0.0323889490578687
2018,10,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",19,68,357.894736842105,0,4,2,2,3,0,2,2,0.5,0,0,NA,0,0,0,0,5,0,0,-2.661915464676,-0.126757879270286
2018,3,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",19,120,631.578947368421,2,6,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,2.2150398301601,0.116581043692637
2018,7,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",24,99,412.5,0,6,2,1,8,0,0,0,NA,0,0,NA,0,0,0,0,6,0,0,-4.77314839507607,-0.183582630579849
2018,12,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",12,35,291.666666666667,0,1,2,2,17,0,1,1,0.5,0,0,NA,0,0,0,0,1,0,0,-2.15726159303449,-0.154090113788178
2018,11,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",16,51,318.75,2,4,0,0,0,0,1,1,0.5,0,0,NA,1,1,0,0,1,0,0,-0.790573095611759,-0.0494108184757349
2018,2,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",11,20,181.818181818182,0,1,3,3,33,1,0,0,NA,0,0,NA,0,0,0,0,4,0,0,-4.14655739662702,-0.296182671187645
2018,17,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",4,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,2,0,0,-2.73369635967538,-0.683424089918844
2018,9,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",9,17,188.888888888889,0,1,3,3,19,1,0,0,NA,0,0,NA,0,0,0,0,3,0,0,-3.49635807803134,-0.291363173169279
2018,8,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",26,149,573.076923076923,1,4,1,1,5,1,1,1,0.5,0,0,NA,1,1,0,1,3,0,0,-1.81690608727513,-0.067292818047227
2018,1,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",26,96,369.230769230769,1,4,3,2,70,1,2,2,0.5,0,0,NA,1,1,0,1,3,0,0,0.0426568082475634,0.00147092442232977
2018,6,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",17,97,570.588235294118,0,4,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,1.18855515244649,0.066030841802583
2018,15,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",19,51,268.421052631579,0,3,3,2,13,2,1,1,0.5,0,0,NA,0,0,0,0,4,0,0,-2.77018910011975,-0.12591768636908
2018,5,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",4,6,150,0,1,3,2,28,2,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0.18935272656381,0.0270503895091157
2018,14,"00-0025394","Adrian Peterson","WAS","RB","1985-03-21",73,220,11,2007,2007,7,"RB",10,16,160,0,1,1,1,-1,0,0,0,NA,0,0,NA,0,0,0,0,3,0,0,-4.78057356970385,-0.434597597245804
