"season","week","gsis_id","full_name","team","position","birth_date","height","weight","years_exp","rookie_year","entry_year","draft_number","depth_chart_position","targets","receptions","catch_rate","air_yards","yac","pass_tds","first_down_pass","rush_attempts","rushing_yards","rush_tds","first_down_rush","third_down_converted","third_down_failed","third_down_rate","fourth_down_converted","fourth_down_failed","fourth_down_rate","fumble","fumble_forced","fumble_not_forced","fumble_lost","tackled_for_loss","penalties","penalty_yards","total_epa","avg_epa"
2018,16,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",5,3,60,15,6,0,1,0,0,0,0,1,1,0.5,0,0,NA,1,1,0,1,0,5,0,-9.2117412981322,-1.84234825962644
2018,13,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,2,0,0.604624449086376,0.302312224543188
2018,14,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",2,2,100,16,3,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,2,0,0.726514236535877,0.363257118267938
2018,18,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",4,4,100,28,7,0,3,0,0,0,0,3,3,0.5,0,0,NA,0,0,0,0,0,4,0,3.98058722034329,0.995146805085824
2018,1,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",4,2,50,11,5,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,4,0,1.95838643256878,0.489596608142194
2018,15,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",5,4,80,33,21,0,3,0,0,0,0,1,1,0.5,0,0,NA,0,0,0,0,0,5,0,3.08007769845427,0.616015539690854
2018,12,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",1,1,100,5,13,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2.75389836006798,2.75389836006798
2018,3,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",5,3,60,21,24,0,3,0,0,0,0,3,3,0.5,0,0,NA,0,0,0,0,0,5,0,3.63774108362849,0.727548216725698
2018,7,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",3,2,66.6666666666667,5,6,0,1,0,0,0,0,1,1,0.5,0,0,NA,0,0,0,0,0,3,0,-0.212511841556984,-0.0708372805189947
2018,10,"00-0021547","Antonio Gates","LAC","TE","1980-06-18",76,255,15,2003,2003,NA,"TE",2,1,50,15,3,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,2,0,0.186770523155255,0.0933852615776274
